JEREMIC LECTURE NOTES EXTRACTION REPORT
==================================================
Original PDF: C:\Users\rajes\Documents\pythonprojects\real-essi-retreval-agent\documents\jeremic_lecture_notes_original.pdf
Output file: C:\Users\rajes\Documents\pythonprojects\real-essi-retreval-agent\documents\jeremic_lecture_notes_verbatim.md
Total pages: 3012
Total extracted characters: 7984591

Pages with fewer than 200 extracted characters:
[78, 79, 154, 623, 1281, 1284, 1285, 1290, 1317, 1708, 1737, 1980, 2454, 2521, 2579, 2580, 2593, 2607, 2615, 2798, 2801, 2805]

Pages with no extracted text:
None

PER-PAGE RESULTS
--------------------------------------------------
Page 1: 2072 characters | OK
Page 899: 2266 characters | OK
Page 900: 3039 characters | OK
Page 901: 3175 characters | OK
Page 902: 1973 characters | OK
Page 903: 2030 characters | OK
Page 904: 2036 characters | OK
Page 905: 3021 characters | OK
Page 906: 1700 characters | OK
Page 907: 2941 characters | OK
Page 908: 2466 characters | OK
Page 909: 1202 characters | OK
Page 910: 2988 characters | OK
Page 911: 1414 characters | OK
Page 912: 2928 characters | OK
Page 913: 3102 characters | OK
Page 914: 970 characters | OK
Page 915: 1100 characters | OK
Page 916: 3485 characters | OK
Page 917: 1025 characters | OK
Page 918: 2007 characters | OK
Page 919: 1189 characters | OK
Page 920: 1659 characters | OK
Page 921: 419 characters | OK
Page 922: 987 characters | OK
Page 923: 1299 characters | OK
Page 924: 994 characters | OK
Page 925: 1309 characters | OK
Page 926: 1811 characters | OK
Page 927: 2153 characters | OK
Page 928: 1095 characters | OK
Page 929: 1374 characters | OK
Page 930: 1111 characters | OK
Page 931: 1397 characters | OK
Page 932: 1112 characters | OK
Page 933: 1387 characters | OK
Page 934: 566 characters | OK
Page 935: 944 characters | OK
Page 936: 1644 characters | OK
Page 937: 1938 characters | OK
Page 938: 1037 characters | OK
Page 939: 1912 characters | OK
Page 940: 2463 characters | OK
Page 941: 1179 characters | OK
Page 942: 537 characters | OK
Page 943: 1274 characters | OK
Page 944: 1267 characters | OK
Page 945: 1409 characters | OK
Page 946: 1261 characters | OK
Page 947: 548 characters | OK
Page 948: 620 characters | OK
Page 949: 641 characters | OK
Page 950: 1404 characters | OK
Page 951: 2440 characters | OK
Page 952: 3493 characters | OK
Page 953: 1308 characters | OK
Page 954: 3952 characters | OK
Page 955: 3449 characters | OK
Page 956: 1115 characters | OK
Page 957: 3166 characters | OK
Page 958: 601 characters | OK
Page 959: 3210 characters | OK
Page 960: 623 characters | OK
Page 961: 1459 characters | OK
Page 962: 860 characters | OK
Page 963: 849 characters | OK
Page 964: 3298 characters | OK
Page 965: 866 characters | OK
Page 966: 3067 characters | OK
Page 967: 3224 characters | OK
Page 968: 487 characters | OK
Page 969: 2656 characters | OK
Page 970: 1232 characters | OK
Page 971: 2171 characters | OK
Page 972: 3128 characters | OK
Page 973: 371 characters | OK
Page 974: 2153 characters | OK
Page 975: 2916 characters | OK
Page 976: 362 characters | OK
Page 977: 296 characters | OK
Page 978: 1041 characters | OK
Page 979: 2479 characters | OK
Page 980: 2290 characters | OK
Page 981: 424 characters | OK
Page 982: 384 characters | OK
Page 983: 432 characters | OK
Page 984: 559 characters | OK
Page 985: 961 characters | OK
Page 986: 436 characters | OK
Page 987: 378 characters | OK
Page 988: 499 characters | OK
Page 989: 523 characters | OK
Page 990: 1068 characters | OK
Page 991: 1291 characters | OK
Page 992: 1491 characters | OK
Page 993: 1404 characters | OK
Page 994: 3068 characters | OK
Page 995: 2293 characters | OK
Page 996: 1152 characters | OK
Page 997: 1006 characters | OK
Page 998: 2166 characters | OK
Page 999: 2532 characters | OK
Page 1000: 2228 characters | OK
Page 1001: 3224 characters | OK
Page 1002: 3333 characters | OK
Page 1003: 3347 characters | OK
Page 1004: 3333 characters | OK
Page 1005: 3283 characters | OK
Page 1006: 3221 characters | OK
Page 1007: 2194 characters | OK
Page 1008: 1326 characters | OK
Page 1009: 1565 characters | OK
Page 1010: 1028 characters | OK
Page 1011: 2495 characters | OK
Page 1012: 2148 characters | OK
Page 1013: 1982 characters | OK
Page 1014: 2691 characters | OK
Page 1015: 2519 characters | OK
Page 1016: 456 characters | OK
Page 1017: 950 characters | OK
Page 1018: 685 characters | OK
Page 1019: 833 characters | OK
Page 1020: 686 characters | OK
Page 1021: 687 characters | OK
Page 1022: 828 characters | OK
Page 1023: 793 characters | OK
Page 1024: 577 characters | OK
Page 1025: 1381 characters | OK
Page 1026: 3432 characters | OK
Page 1027: 1276 characters | OK
Page 1028: 3481 characters | OK
Page 1029: 3553 characters | OK
Page 1030: 3500 characters | OK
Page 1031: 3687 characters | OK
Page 1032: 3443 characters | OK
Page 1033: 3671 characters | OK
Page 1034: 3723 characters | OK
Page 1035: 3033 characters | OK
Page 1036: 2311 characters | OK
Page 1037: 1257 characters | OK
Page 1038: 1501 characters | OK
Page 1039: 1446 characters | OK
Page 1040: 1393 characters | OK
Page 1041: 1450 characters | OK
Page 1042: 1483 characters | OK
Page 1043: 1604 characters | OK
Page 1044: 1557 characters | OK
Page 1045: 1571 characters | OK
Page 1046: 1812 characters | OK
Page 1047: 1941 characters | OK
Page 1048: 1685 characters | OK
Page 1049: 1106 characters | OK
Page 1050: 354 characters | OK
Page 1051: 326 characters | OK
Page 1052: 841 characters | OK
Page 1053: 327 characters | OK
Page 1054: 357 characters | OK
Page 1055: 283 characters | OK
Page 1056: 3444 characters | OK
Page 1057: 2494 characters | OK
Page 1058: 1760 characters | OK
Page 1059: 5275 characters | OK
Page 1060: 1910 characters | OK
Page 1061: 2656 characters | OK
Page 1062: 2414 characters | OK
Page 1063: 3251 characters | OK
Page 1064: 4004 characters | OK
Page 1065: 3867 characters | OK
Page 1066: 4778 characters | OK
Page 1067: 2059 characters | OK
Page 1068: 3327 characters | OK
Page 1069: 4288 characters | OK
Page 1070: 4333 characters | OK
Page 1071: 4437 characters | OK
Page 1072: 5349 characters | OK
Page 1073: 5294 characters | OK
Page 1074: 4345 characters | OK
Page 1075: 3694 characters | OK
Page 1076: 2398 characters | OK
Page 1077: 4237 characters | OK
Page 1078: 2569 characters | OK
Page 1079: 2740 characters | OK
Page 1080: 4886 characters | OK
Page 1081: 2394 characters | OK
Page 1082: 4893 characters | OK
Page 1083: 2862 characters | OK
Page 1084: 3617 characters | OK
Page 1085: 2315 characters | OK
Page 1086: 3313 characters | OK
Page 1087: 3452 characters | OK
Page 1088: 1565 characters | OK
Page 1089: 306 characters | OK
Page 1090: 3506 characters | OK
Page 1091: 2621 characters | OK
Page 1092: 3339 characters | OK
Page 1093: 2708 characters | OK
Page 1094: 2399 characters | OK
Page 1095: 1669 characters | OK
Page 1096: 2225 characters | OK
Page 1097: 2398 characters | OK
Page 1098: 2398 characters | OK
Page 1099: 2645 characters | OK
Page 1100: 1262 characters | OK
Page 1101: 3125 characters | OK
Page 1102: 3602 characters | OK
Page 1103: 3011 characters | OK
Page 1104: 3510 characters | OK
Page 1105: 3161 characters | OK
Page 1106: 3512 characters | OK
Page 1107: 3345 characters | OK
Page 1108: 2854 characters | OK
Page 1109: 1949 characters | OK
Page 1110: 968 characters | OK
Page 1111: 728 characters | OK
Page 1112: 1327 characters | OK
Page 1113: 3429 characters | OK
Page 1114: 3878 characters | OK
Page 1115: 1609 characters | OK
Page 1116: 2340 characters | OK
Page 1117: 3991 characters | OK
Page 1118: 4140 characters | OK
Page 1119: 3782 characters | OK
Page 1120: 4347 characters | OK
Page 1121: 3928 characters | OK
Page 1122: 2500 characters | OK
Page 1123: 3655 characters | OK
Page 1124: 726 characters | OK
Page 1125: 563 characters | OK
Page 1126: 3659 characters | OK
Page 1127: 1704 characters | OK
Page 1128: 1699 characters | OK
Page 1129: 2310 characters | OK
Page 1130: 2017 characters | OK
Page 1131: 2798 characters | OK
Page 1132: 817 characters | OK
Page 1133: 2238 characters | OK
Page 1134: 3090 characters | OK
Page 1135: 1740 characters | OK
Page 1136: 2424 characters | OK
Page 1137: 2069 characters | OK
Page 1138: 2037 characters | OK
Page 1139: 343 characters | OK
Page 1140: 1798 characters | OK
Page 1141: 950 characters | OK
Page 1142: 960 characters | OK
Page 1143: 344 characters | OK
Page 1144: 600 characters | OK
Page 1145: 369 characters | OK
Page 1146: 332 characters | OK
Page 1147: 313 characters | OK
Page 1148: 293 characters | OK
Page 1149: 1371 characters | OK
Page 1150: 785 characters | OK
Page 1151: 1478 characters | OK
Page 1152: 2529 characters | OK
Page 1153: 1820 characters | OK
Page 1154: 2723 characters | OK
Page 1155: 610 characters | OK
Page 1156: 2064 characters | OK
Page 1157: 659 characters | OK
Page 1158: 2063 characters | OK
Page 1159: 472 characters | OK
Page 1160: 885 characters | OK
Page 1161: 712 characters | OK
Page 1162: 665 characters | OK
Page 1163: 682 characters | OK
Page 1164: 818 characters | OK
Page 1165: 1886 characters | OK
Page 1166: 1057 characters | OK
Page 1167: 3246 characters | OK
Page 1168: 2488 characters | OK
Page 1169: 2733 characters | OK
Page 1170: 605 characters | OK
Page 1171: 1708 characters | OK
Page 1172: 720 characters | OK
Page 1173: 1396 characters | OK
Page 1174: 2764 characters | OK
Page 1175: 1894 characters | OK
Page 1176: 1145 characters | OK
Page 1177: 580 characters | OK
Page 1178: 1157 characters | OK
Page 1179: 6116 characters | OK
Page 1180: 566 characters | OK
Page 1181: 350 characters | OK
Page 1182: 2734 characters | OK
Page 1183: 2626 characters | OK
Page 1184: 1827 characters | OK
Page 1185: 2877 characters | OK
Page 1186: 2440 characters | OK
Page 1187: 2868 characters | OK
Page 1188: 2091 characters | OK
Page 1189: 2858 characters | OK
Page 1190: 1677 characters | OK
Page 1191: 2659 characters | OK
Page 1192: 2100 characters | OK
Page 1193: 1641 characters | OK
Page 1194: 2331 characters | OK
Page 1195: 2752 characters | OK
Page 1196: 3738 characters | OK
Page 1197: 1881 characters | OK
Page 1198: 2620 characters | OK
Page 1199: 2920 characters | OK
Page 1200: 2809 characters | OK
Page 1201: 3355 characters | OK
Page 1202: 2927 characters | OK
Page 1203: 2519 characters | OK
Page 1204: 2917 characters | OK
Page 1205: 3370 characters | OK
Page 1206: 3373 characters | OK
Page 1207: 1165 characters | OK
Page 1208: 2215 characters | OK
Page 1209: 2006 characters | OK
Page 1210: 2311 characters | OK
Page 1211: 2182 characters | OK
Page 1212: 3769 characters | OK
Page 1213: 685 characters | OK
Page 1214: 257 characters | OK
Page 1215: 3899 characters | OK
Page 1216: 2667 characters | OK
Page 1217: 2875 characters | OK
Page 1218: 2649 characters | OK
Page 1219: 2472 characters | OK
Page 1220: 2129 characters | OK
Page 1221: 2363 characters | OK
Page 1222: 2769 characters | OK
Page 1223: 2169 characters | OK
Page 1224: 380 characters | OK
Page 1225: 253 characters | OK
Page 1226: 3114 characters | OK
Page 1227: 336 characters | OK
Page 1228: 1054 characters | OK
Page 1229: 654 characters | OK
Page 1230: 722 characters | OK
Page 1231: 385 characters | OK
Page 1232: 463 characters | OK
Page 1233: 682 characters | OK
Page 1234: 390 characters | OK
Page 1235: 378 characters | OK
Page 1236: 374 characters | OK
Page 1237: 918 characters | OK
Page 1238: 691 characters | OK
Page 1239: 654 characters | OK
Page 1240: 2822 characters | OK
Page 1241: 1843 characters | OK
Page 1242: 1597 characters | OK
Page 1243: 1071 characters | OK
Page 1244: 995 characters | OK
Page 1245: 3929 characters | OK
Page 1246: 1697 characters | OK
Page 1247: 2215 characters | OK
Page 1248: 5404 characters | OK
Page 1249: 1170 characters | OK
Page 1250: 458 characters | OK
Page 1251: 2106 characters | OK
Page 1252: 1525 characters | OK
Page 1253: 1022 characters | OK
Page 1254: 1445 characters | OK
Page 1255: 822 characters | OK
Page 1256: 2240 characters | OK
Page 1257: 340 characters | OK
Page 1258: 442 characters | OK
Page 1259: 2342 characters | OK
Page 1260: 2907 characters | OK
Page 1261: 829 characters | OK
Page 1262: 1862 characters | OK
Page 1263: 996 characters | OK
Page 1264: 2384 characters | OK
Page 1265: 1311 characters | OK
Page 1266: 2883 characters | OK
Page 1267: 1896 characters | OK
Page 1268: 848 characters | OK
Page 1269: 876 characters | OK
Page 1270: 1043 characters | OK
Page 1271: 2055 characters | OK
Page 1272: 2754 characters | OK
Page 1273: 2889 characters | OK
Page 1274: 1469 characters | OK
Page 1275: 1300 characters | OK
Page 1276: 562 characters | OK
Page 1277: 2116 characters | OK
Page 1278: 841 characters | OK
Page 1279: 1393 characters | OK
Page 1280: 376 characters | OK
Page 1281: 184 characters | LOW TEXT
Page 1282: 2815 characters | OK
Page 1283: 947 characters | OK
Page 1284: 135 characters | LOW TEXT
Page 1285: 184 characters | LOW TEXT
Page 1286: 723 characters | OK
Page 1287: 2437 characters | OK
Page 1288: 2616 characters | OK
Page 1289: 744 characters | OK
Page 1290: 185 characters | LOW TEXT
Page 1291: 2640 characters | OK
Page 1292: 1608 characters | OK
Page 1293: 1602 characters | OK
Page 1294: 2466 characters | OK
Page 1295: 1769 characters | OK
Page 1296: 3268 characters | OK
Page 1297: 2707 characters | OK
Page 1298: 1062 characters | OK
Page 1299: 1900 characters | OK
Page 1300: 1495 characters | OK
Page 1301: 2176 characters | OK
Page 1302: 2201 characters | OK
Page 1303: 2876 characters | OK
Page 1304: 1240 characters | OK
Page 1305: 1292 characters | OK
Page 1306: 2977 characters | OK
Page 1307: 411 characters | OK
Page 1308: 1169 characters | OK
Page 1309: 280 characters | OK
Page 1310: 1073 characters | OK
Page 1311: 247 characters | OK
Page 1312: 2747 characters | OK
Page 1313: 2774 characters | OK
Page 1314: 2818 characters | OK
Page 1315: 2726 characters | OK
Page 1316: 1022 characters | OK
Page 1317: 153 characters | LOW TEXT
Page 1318: 380 characters | OK
Page 1319: 318 characters | OK
Page 1320: 3876 characters | OK
Page 1321: 4471 characters | OK
Page 1322: 4364 characters | OK
Page 1323: 5381 characters | OK
Page 1324: 4379 characters | OK
Page 1325: 4399 characters | OK
Page 1326: 5221 characters | OK
Page 1327: 3434 characters | OK
Page 1328: 3220 characters | OK
Page 1329: 2903 characters | OK
Page 1330: 8302 characters | OK
Page 1331: 10725 characters | OK
Page 1332: 843 characters | OK
Page 1333: 358 characters | OK
Page 1334: 2794 characters | OK
Page 1335: 5758 characters | OK
Page 1336: 5713 characters | OK
Page 1337: 5810 characters | OK
Page 1338: 1870 characters | OK
Page 1339: 349 characters | OK
Page 1340: 2541 characters | OK
Page 1341: 670 characters | OK
Page 1342: 399 characters | OK
Page 1343: 6748 characters | OK
Page 1344: 1446 characters | OK
Page 1345: 2269 characters | OK
Page 1346: 394 characters | OK
Page 1347: 1376 characters | OK
Page 1348: 661 characters | OK
Page 1349: 395 characters | OK
Page 1350: 326 characters | OK
Page 1351: 1996 characters | OK
Page 1352: 2625 characters | OK
Page 1353: 1720 characters | OK
Page 1354: 1790 characters | OK
Page 1355: 2204 characters | OK
Page 1356: 733 characters | OK
Page 1357: 2858 characters | OK
Page 1358: 3362 characters | OK
Page 1359: 3201 characters | OK
Page 1360: 2941 characters | OK
Page 1361: 1802 characters | OK
Page 1362: 1051 characters | OK
Page 1363: 3029 characters | OK
Page 1364: 2454 characters | OK
Page 1365: 531 characters | OK
Page 1366: 396 characters | OK
Page 1367: 1599 characters | OK
Page 1368: 538 characters | OK
Page 1369: 2244 characters | OK
Page 1370: 1071 characters | OK
Page 1371: 535 characters | OK
Page 1372: 1749 characters | OK
Page 1373: 469 characters | OK
Page 1374: 470 characters | OK
Page 1375: 2152 characters | OK
Page 1376: 395 characters | OK
Page 1377: 1771 characters | OK
Page 1378: 479 characters | OK
Page 1379: 480 characters | OK
Page 1380: 2065 characters | OK
Page 1381: 407 characters | OK
Page 1382: 1581 characters | OK
Page 1383: 1582 characters | OK
Page 1384: 1310 characters | OK
Page 1385: 504 characters | OK
Page 1386: 1655 characters | OK
Page 1387: 483 characters | OK
Page 1388: 484 characters | OK
Page 1389: 2197 characters | OK
Page 1390: 406 characters | OK
Page 1391: 2364 characters | OK
Page 1392: 941 characters | OK
Page 1393: 2184 characters | OK
Page 1394: 1301 characters | OK
Page 1395: 2394 characters | OK
Page 1396: 1110 characters | OK
Page 1397: 1469 characters | OK
Page 1398: 1576 characters | OK
Page 1399: 1999 characters | OK
Page 1400: 591 characters | OK
Page 1401: 542 characters | OK
Page 1402: 2211 characters | OK
Page 1403: 3891 characters | OK
Page 1404: 2079 characters | OK
Page 1405: 3914 characters | OK
Page 1406: 762 characters | OK
Page 1407: 2070 characters | OK
Page 1408: 2194 characters | OK
Page 1409: 1956 characters | OK
Page 1410: 3159 characters | OK
Page 1411: 540 characters | OK
Page 1412: 538 characters | OK
Page 1413: 850 characters | OK
Page 1414: 540 characters | OK
Page 1415: 2046 characters | OK
Page 1416: 1075 characters | OK
Page 1417: 537 characters | OK
Page 1418: 1919 characters | OK
Page 1419: 471 characters | OK
Page 1420: 472 characters | OK
Page 1421: 2218 characters | OK
Page 1422: 397 characters | OK
Page 1423: 1945 characters | OK
Page 1424: 481 characters | OK
Page 1425: 482 characters | OK
Page 1426: 2074 characters | OK
Page 1427: 545 characters | OK
Page 1428: 1591 characters | OK
Page 1429: 1589 characters | OK
Page 1430: 1314 characters | OK
Page 1431: 499 characters | OK
Page 1432: 1665 characters | OK
Page 1433: 483 characters | OK
Page 1434: 484 characters | OK
Page 1435: 2204 characters | OK
Page 1436: 547 characters | OK
Page 1437: 2366 characters | OK
Page 1438: 942 characters | OK
Page 1439: 2190 characters | OK
Page 1440: 1409 characters | OK
Page 1441: 332 characters | OK
Page 1442: 1131 characters | OK
Page 1443: 1482 characters | OK
Page 1444: 3175 characters | OK
Page 1445: 707 characters | OK
Page 1446: 1272 characters | OK
Page 1447: 2031 characters | OK
Page 1448: 366 characters | OK
Page 1449: 2529 characters | OK
Page 1450: 2826 characters | OK
Page 1451: 2980 characters | OK
Page 1452: 3030 characters | OK
Page 1453: 463 characters | OK
Page 1454: 2066 characters | OK
Page 1455: 2691 characters | OK
Page 1456: 2332 characters | OK
Page 1457: 1072 characters | OK
Page 1458: 308 characters | OK
Page 1459: 315 characters | OK
Page 1460: 2339 characters | OK
Page 1461: 1551 characters | OK
Page 1462: 676 characters | OK
Page 1463: 606 characters | OK
Page 1464: 2833 characters | OK
Page 1465: 2062 characters | OK
Page 1466: 3396 characters | OK
Page 1467: 2133 characters | OK
Page 1468: 3345 characters | OK
Page 1469: 1802 characters | OK
Page 1470: 2749 characters | OK
Page 1471: 1861 characters | OK
Page 1472: 2650 characters | OK
Page 1473: 598 characters | OK
Page 1474: 1950 characters | OK
Page 1475: 1794 characters | OK
Page 1476: 1597 characters | OK
Page 1477: 3007 characters | OK
Page 1478: 4353 characters | OK
Page 1479: 601 characters | OK
Page 1480: 601 characters | OK
Page 1481: 920 characters | OK
Page 1482: 867 characters | OK
Page 1483: 603 characters | OK
Page 1484: 1750 characters | OK
Page 1485: 464 characters | OK
Page 1486: 465 characters | OK
Page 1487: 1629 characters | OK
Page 1488: 599 characters | OK
Page 1489: 1772 characters | OK
Page 1490: 474 characters | OK
Page 1491: 475 characters | OK
Page 1492: 1644 characters | OK
Page 1493: 608 characters | OK
Page 1494: 1583 characters | OK
Page 1495: 1147 characters | OK
Page 1496: 1060 characters | OK
Page 1497: 724 characters | OK
Page 1498: 1657 characters | OK
Page 1499: 478 characters | OK
Page 1500: 479 characters | OK
Page 1501: 1649 characters | OK
Page 1502: 609 characters | OK
Page 1503: 404 characters | OK
Page 1504: 2964 characters | OK
Page 1505: 2768 characters | OK
Page 1506: 2895 characters | OK
Page 1507: 1295 characters | OK
Page 1508: 2491 characters | OK
Page 1509: 2418 characters | OK
Page 1510: 1803 characters | OK
Page 1511: 2832 characters | OK
Page 1512: 2126 characters | OK
Page 1513: 2290 characters | OK
Page 1514: 1423 characters | OK
Page 1515: 1729 characters | OK
Page 1516: 2251 characters | OK
Page 1517: 560 characters | OK
Page 1518: 648 characters | OK
Page 1519: 493 characters | OK
Page 1520: 977 characters | OK
Page 1521: 2310 characters | OK
Page 1522: 788 characters | OK
Page 1523: 4390 characters | OK
Page 1524: 1133 characters | OK
Page 1525: 2950 characters | OK
Page 1526: 913 characters | OK
Page 1527: 347 characters | OK
Page 1528: 401 characters | OK
Page 1529: 2574 characters | OK
Page 1530: 2135 characters | OK
Page 1531: 4132 characters | OK
Page 1532: 3245 characters | OK
Page 1533: 3076 characters | OK
Page 1534: 2892 characters | OK
Page 1535: 4180 characters | OK
Page 1536: 2918 characters | OK
Page 1537: 3291 characters | OK
Page 1538: 2921 characters | OK
Page 1539: 2861 characters | OK
Page 1540: 2909 characters | OK
Page 1541: 3108 characters | OK
Page 1542: 1945 characters | OK
Page 1543: 1945 characters | OK
Page 1544: 4136 characters | OK
Page 1545: 4007 characters | OK
Page 1546: 2691 characters | OK
Page 1547: 3620 characters | OK
Page 1548: 3139 characters | OK
Page 1549: 3114 characters | OK
Page 1550: 3242 characters | OK
Page 1551: 3102 characters | OK
Page 1552: 911 characters | OK
Page 1553: 1294 characters | OK
Page 1554: 1253 characters | OK
Page 1555: 1678 characters | OK
Page 1556: 1610 characters | OK
Page 1557: 1819 characters | OK
Page 1558: 1548 characters | OK
Page 1559: 1452 characters | OK
Page 1560: 1159 characters | OK
Page 1561: 2541 characters | OK
Page 1562: 1960 characters | OK
Page 1563: 1524 characters | OK
Page 1564: 1270 characters | OK
Page 1565: 1524 characters | OK
Page 1566: 1249 characters | OK
Page 1567: 1516 characters | OK
Page 1568: 1550 characters | OK
Page 1569: 1537 characters | OK
Page 1570: 1524 characters | OK
Page 1571: 1522 characters | OK
Page 1572: 1299 characters | OK
Page 1573: 1515 characters | OK
Page 1574: 1323 characters | OK
Page 1575: 1786 characters | OK
Page 1576: 1718 characters | OK
Page 1577: 1768 characters | OK
Page 1578: 1720 characters | OK
Page 1579: 1675 characters | OK
Page 1580: 2820 characters | OK
Page 1581: 2807 characters | OK
Page 1582: 2834 characters | OK
Page 1583: 2829 characters | OK
Page 1584: 2682 characters | OK
Page 1585: 1328 characters | OK
Page 1586: 4748 characters | OK
Page 1587: 2895 characters | OK
Page 1588: 3728 characters | OK
Page 1589: 3718 characters | OK
Page 1590: 2462 characters | OK
Page 1591: 2578 characters | OK
Page 1592: 2437 characters | OK
Page 1593: 2025 characters | OK
Page 1594: 3088 characters | OK
Page 1595: 3516 characters | OK
Page 1596: 2179 characters | OK
Page 1597: 3534 characters | OK
Page 1598: 2788 characters | OK
Page 1599: 2810 characters | OK
Page 1600: 3003 characters | OK
Page 1601: 2986 characters | OK
Page 1602: 420 characters | OK
Page 1603: 3968 characters | OK
Page 1604: 1833 characters | OK
Page 1605: 2494 characters | OK
Page 1606: 5729 characters | OK
Page 1607: 2091 characters | OK
Page 1608: 2772 characters | OK
Page 1609: 1836 characters | OK
Page 1610: 2602 characters | OK
Page 1611: 2710 characters | OK
Page 1612: 3287 characters | OK
Page 1613: 2773 characters | OK
Page 1614: 3327 characters | OK
Page 1615: 2744 characters | OK
Page 1616: 2782 characters | OK
Page 1617: 2961 characters | OK
Page 1618: 2588 characters | OK
Page 1619: 5164 characters | OK
Page 1620: 2880 characters | OK
Page 1621: 3064 characters | OK
Page 1622: 2630 characters | OK
Page 1623: 1461 characters | OK
Page 1624: 432 characters | OK
Page 1625: 925 characters | OK
Page 1626: 1617 characters | OK
Page 1627: 2969 characters | OK
Page 1628: 2981 characters | OK
Page 1629: 1505 characters | OK
Page 1630: 3791 characters | OK
Page 1631: 4049 characters | OK
Page 1632: 3789 characters | OK
Page 1633: 373 characters | OK
Page 1634: 3185 characters | OK
Page 1635: 3566 characters | OK
Page 1636: 3513 characters | OK
Page 1637: 2529 characters | OK
Page 1638: 3185 characters | OK
Page 1639: 4921 characters | OK
Page 1640: 4165 characters | OK
Page 1641: 3655 characters | OK
Page 1642: 3678 characters | OK
Page 1643: 1968 characters | OK
Page 1644: 4460 characters | OK
Page 1645: 5119 characters | OK
Page 1646: 3631 characters | OK
Page 1647: 1950 characters | OK
Page 1648: 2300 characters | OK
Page 1649: 801 characters | OK
Page 1650: 2696 characters | OK
Page 1651: 472 characters | OK
Page 1652: 1726 characters | OK
Page 1653: 1726 characters | OK
Page 1654: 1726 characters | OK
Page 1655: 1818 characters | OK
Page 1656: 1818 characters | OK
Page 1657: 1818 characters | OK
Page 1658: 853 characters | OK
Page 1659: 3840 characters | OK
Page 1660: 6703 characters | OK
Page 1661: 3178 characters | OK
Page 1662: 3606 characters | OK
Page 1663: 5176 characters | OK
Page 1664: 5818 characters | OK
Page 1665: 3976 characters | OK
Page 1666: 4618 characters | OK
Page 1667: 3954 characters | OK
Page 1668: 3970 characters | OK
Page 1669: 4147 characters | OK
Page 1670: 3143 characters | OK
Page 1671: 3214 characters | OK
Page 1672: 1678 characters | OK
Page 1673: 1696 characters | OK
Page 1674: 4569 characters | OK
Page 1675: 5569 characters | OK
Page 1676: 4735 characters | OK
Page 1677: 5047 characters | OK
Page 1678: 10050 characters | OK
Page 1679: 2470 characters | OK
Page 1680: 3774 characters | OK
Page 1681: 3737 characters | OK
Page 1682: 2187 characters | OK
Page 1683: 2517 characters | OK
Page 1684: 2099 characters | OK
Page 1685: 353 characters | OK
Page 1686: 305 characters | OK
Page 1687: 968 characters | OK
Page 1688: 862 characters | OK
Page 1689: 2426 characters | OK
Page 1690: 2538 characters | OK
Page 1691: 2427 characters | OK
Page 1692: 1348 characters | OK
Page 1693: 409 characters | OK
Page 1694: 409 characters | OK
Page 1695: 409 characters | OK
Page 1696: 409 characters | OK
Page 1697: 334 characters | OK
Page 1698: 273 characters | OK
Page 1699: 2425 characters | OK
Page 1700: 839 characters | OK
Page 1701: 2858 characters | OK
Page 1702: 1248 characters | OK
Page 1703: 2997 characters | OK
Page 1704: 987 characters | OK
Page 1705: 919 characters | OK
Page 1706: 250 characters | OK
Page 1707: 1309 characters | OK
Page 1708: 175 characters | LOW TEXT
Page 1709: 316 characters | OK
Page 1710: 2327 characters | OK
Page 1711: 3563 characters | OK
Page 1712: 301 characters | OK
Page 1713: 2329 characters | OK
Page 1714: 1667 characters | OK
Page 1715: 1132 characters | OK
Page 1716: 2087 characters | OK
Page 1717: 2384 characters | OK
Page 1718: 1888 characters | OK
Page 1719: 1676 characters | OK
Page 1720: 1807 characters | OK
Page 1721: 1052 characters | OK
Page 1722: 1218 characters | OK
Page 1723: 314 characters | OK
Page 1724: 2435 characters | OK
Page 1725: 2998 characters | OK
Page 1726: 301 characters | OK
Page 1727: 1557 characters | OK
Page 1728: 1226 characters | OK
Page 1729: 1047 characters | OK
Page 1730: 1233 characters | OK
Page 1731: 1051 characters | OK
Page 1732: 1327 characters | OK
Page 1733: 1297 characters | OK
Page 1734: 733 characters | OK
Page 1735: 942 characters | OK
Page 1736: 1064 characters | OK
Page 1737: 195 characters | LOW TEXT
Page 1738: 3662 characters | OK
Page 1739: 2416 characters | OK
Page 1740: 2124 characters | OK
Page 1741: 243 characters | OK
Page 1742: 1892 characters | OK
Page 1743: 961 characters | OK
Page 1744: 1433 characters | OK
Page 1745: 1550 characters | OK
Page 1746: 2714 characters | OK
Page 1747: 1539 characters | OK
Page 1748: 2896 characters | OK
Page 1749: 504 characters | OK
Page 1750: 1142 characters | OK
Page 1751: 544 characters | OK
Page 1752: 1093 characters | OK
Page 1753: 1339 characters | OK
Page 1754: 1603 characters | OK
Page 1755: 255 characters | OK
Page 1756: 997 characters | OK
Page 1757: 1904 characters | OK
Page 1758: 1852 characters | OK
Page 1759: 1679 characters | OK
Page 1760: 1856 characters | OK
Page 1761: 2884 characters | OK
Page 1762: 2570 characters | OK
Page 1763: 2150 characters | OK
Page 1764: 2414 characters | OK
Page 1765: 2164 characters | OK
Page 1766: 2324 characters | OK
Page 1767: 2539 characters | OK
Page 1768: 2287 characters | OK
Page 1769: 2233 characters | OK
Page 1770: 2125 characters | OK
